1702455606.846255 -0.005021830089390278 0.0012708129361271858 -0.016096092760562897 -0.3928370697984466, 0.02026994426268131 -0.10134238004907263 0.9137821884660192
1702455606.9126 -0.0034804202150553465 0.01011295523494482 -0.01304980181157589 -0.3926042039683375, 0.0236072586909982 -0.1051073410485799 0.9133767476902299
1702455606.978945 -0.007605241611599922 -0.017095938324928284 -0.020942294970154762 -0.39292281687026587, 0.014177533858614056 -0.09324847038217586 0.9147214768921782
1702455607.04529 -0.005446052178740501 0.0014087855815887451 -0.013786215335130692 -0.3929364823291356, 0.021300446573912137 -0.10092362349477633 0.913762350970558
1702455607.111635 -0.00540074473246932 0.00185911706648767 -0.01373999658972025 -0.3929213185277183, 0.021450873636196546 -0.10114985460802044 0.9137403375026515
1702455607.17798 -0.0070926593616604805 -0.006174309179186821 -0.01611039973795414 -0.39306261483274374, 0.01865362989185962 -0.09767490116762631 0.9141189400699443
1702455607.244325 -0.009278577752411366 -0.01771342009305954 -0.020763607695698738 -0.39323698742594876, 0.014103117049983429 -0.09287041284112042 0.9146260767266361
1702455607.3106701 -0.007286292500793934 -0.005387402139604092 -0.014199858531355858 -0.3930746703089267, 0.019663642449401907 -0.0976864148034254 0.9140913570809014
1702455607.377015 -0.005881180986762047 0.0012995358556509018 -0.010975304991006851 -0.3929102320509682, 0.02263517441031682 -0.10036896186640508 0.9138026427642509
1702455607.44336 -0.009848615154623985 -0.017325768247246742 -0.018758462741971016 -0.39342978106594817, 0.015010813865351968 -0.09267165676580359 0.9145488761513958
1702455607.509705 -0.005702817812561989 0.001220574602484703 -0.009122334420681 -0.39309960194863836, 0.023448931534061065 -0.10000177257015251 0.9137409348609489
1702455607.57605 -0.008936179801821709 -0.01314652431756258 -0.01469876803457737 -0.393328465355943, 0.017725575605061664 -0.09398309938047067 0.9144100280186391
1702455607.642395 -0.009398014284670353 -0.029844101518392563 -0.01654844917356968 -0.3935093938638597, 0.01347044654734418 -0.08617992145581234 0.9151731667551137
1702455607.70874 -0.010475222021341324 -0.03391415253281593 -0.01888302154839039 -0.39356689606371714, 0.011512112134934282 -0.08457869532141556 0.9153245402012834
1702455607.775086 -0.009078377857804298 -0.02391890622675419 -0.014841599389910698 -0.3936165799874849, 0.015478390346110926 -0.08867123186868152 0.9148572675724557
1702455607.841431 -0.010882213711738586 -0.0391743965446949 -0.01954125240445137 -0.3937797077954361, 0.010050822579197335 -0.08210666099501832 0.9154752967252976
1702455607.907776 -0.009713680483400822 -0.030635494738817215 -0.01715528964996338 -0.39362396743841743, 0.012962728401019422 -0.08584578791191608 0.9151626306991688
1702455607.974121 -0.010133967734873295 -0.03403473645448685 -0.01883372850716114 -0.3934869584354255, 0.011494698190598753 -0.08453350923434995 0.9153633001553377
1702455608.040466 -0.008167876861989498 -0.023132139816880226 -0.013676786795258522 -0.3933901062049238, 0.01616382120923708 -0.08889127713288146 0.9149214698943728
1702455608.106811 -0.008462428115308285 -0.0271624606102705 -0.01505820918828249 -0.3934862648497154, 0.014688196624740671 -0.08718968732907113 0.9150687267511611
1702455608.173156 -0.005614393390715122 -0.005695300176739693 -0.009709413163363934 -0.39306331432842406, 0.02177809123151611 -0.09666238724319987 0.9141571684146617
1702455608.239501 -0.007061977870762348 -0.01410360261797905 -0.013013530522584915 -0.39327213081139095, 0.018492425205252672 -0.093134523340334 0.9145058894830941
1702455608.305846 -0.006699113640934229 -0.011976704001426697 -0.012575792148709297 -0.39322670828884104, 0.01913039419118215 -0.09409717857172369 0.9144137492903602
1702455608.372191 -0.006927283480763435 -0.02128446102142334 -0.011306864209473133 -0.3935078088942121, 0.017685566047217677 -0.08935922904841027 0.914797110444026
1702455608.438536 -0.006723398342728615 -0.01166200265288353 -0.01143830269575119 -0.39330124321666354, 0.019641946981610873 -0.09403531866890526 0.9143772114646318
1702455608.504881 -0.008428892120718956 -0.014336097985506058 -0.015866363421082497 -0.3934206188728079, 0.01702307507958593 -0.09347710457121591 0.9144355977768767
1702455608.5712261 -0.007791680749505758 -0.013996699824929237 -0.013424884527921677 -0.3935220351890496, 0.01817892141714546 -0.09318936211909176 0.9143990799561286
1702455608.637571 -0.0075372024439275265 -0.01600223034620285 -0.012115616351366043 -0.3933887360780404, 0.018327906443970914 -0.09203698145125011 0.9145701636384412
1702455608.703916 -0.00893869437277317 -0.019608577713370323 -0.016409724950790405 -0.39350251791971697, 0.015574532987791097 -0.09099257358110129 0.9146767482920636
1702455608.770261 -0.00786421075463295 -0.012179125100374222 -0.015498358756303787 -0.39349091499416855, 0.017648281473621283 -0.09433010395279658 0.9143058949095398
1702455608.836606 -0.0073486752808094025 -0.011070599779486656 -0.014375610277056694 -0.393645748527753, 0.01840063028421226 -0.09466746534019399 0.914189538595379
1702455608.902951 -0.008021451532840729 -0.011486123315989971 -0.015274513512849808 -0.3936198279742725, 0.017826271926610206 -0.09459037116579563 0.9142200592512831
1702455608.969296 -0.00509301945567131 0.0023848358541727066 -0.0089412871748209 -0.3933738204883642, 0.023673526882668133 -0.10027555261869314 0.9135871140872881
1702455609.035642 -0.005845499690622091 0.001380183850415051 -0.01185770146548748 -0.3933742967699562, 0.02209804750484017 -0.10026929157234257 0.9136270618281819
1702455609.1019871 -0.00475701317191124 0.0026347192469984293 -0.010611274279654026 -0.39330273457278714, 0.023017145742513727 -0.10073985908981863 0.9135834120484013
1702455609.168332 -0.005183234345167875 0.00013264059089124203 -0.012097078375518322 -0.3933301383105093, 0.02173550597521285 -0.09978339954441404 0.9137079638768598
1702455609.234677 -0.007080810144543648 -0.008440151810646057 -0.01630079746246338 -0.39346802591087704, 0.01793879064418623 -0.09634256170838677 0.914100226003411
1702455609.301022 -0.004661339335143566 0.0018689800053834915 -0.011607933789491653 -0.3933998010238075, 0.022333586913778177 -0.10046938032486832 0.9135883706938976
1702455609.367367 -0.003754792269319296 0.003183877095580101 -0.011254695244133472 -0.39317433004426317, 0.02279952490634763 -0.10112944817722383 0.9136010959766083
1702455609.433712 -0.002953591290861368 0.00473441556096077 -0.011029620654881 -0.393132118930556, 0.023299937675048836 -0.10187983546171762 0.9135232613873625
1702455609.500057 -0.0029241445008665323 0.007590059190988541 -0.01102354284375906 -0.39305877907351955, 0.02382946474132576 -0.10324469155687369 0.9133879167520788
1702455609.566402 -0.0028442745096981525 0.009056877344846725 -0.012252163141965866 -0.39296602960632954, 0.023666518283349033 -0.10421476702237528 0.9133218916801751
